study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	0.157754049750952	hr		2.0464397339147955e-05	24.9369151737491	3.674610824438218e-05	6.944361718863954e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	0.413140328069996	hr		7.914521207370079e-05	64.8567200535038	6.96496857273082e-05	1.3162553380590165e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	0.876761952060296	hr		0.000151472336677458	119.731593128727	0.00012321701160355282	2.3285826428254337e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	1.41049648705102	hr		0.00021333950971400112	143.374626021511	0.00011559190723908462	2.1844817151876044e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	1.87972714392136	hr		0.00022925895779695718	151.307873262071	0.00011787298967039851	2.227590121139713e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	2.48357458991251	hr		0.00023762578854900663	151.265894688825	0.00010940985128036157	2.0676518390599893e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	3.5	hr		0.00022912598528122672	128.562176948788	6.582257154355994e-05	1.243929678278689e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	4.0	hr		0.00020191434388743532	128.536235567414	9.297469797595371e-05	1.7570566361836698e-05		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	4.5	hr		0.0001596561866393372	86.4067788758278	3.85790590150351e-05	7.290756854904813e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	5.0	hr		0.00013209965332120814	69.5839172198391	2.7540424727427047e-05	5.204651059276131e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	6.0	hr		0.00010167127164160894	67.0983063909918	5.2266294640376486e-05	9.87740125494744e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	8.0	hr		7.211987205891483e-05	47.5957583116113	3.707476479437345e-05	7.006471968723203e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	12.0	hr		3.7618486616811284e-05	24.8264499914765	1.933858870547123e-05	3.6546497444028177e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	24.0	hr		1.5197881557780078e-05	10.5878088972623	9.092769303150226e-06	1.7183718789298272e-06		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	35.0	hr		3.6394170467803524e-06	2.98229914724363	3.20260173647107e-06	6.052348387918624e-07		mole/meter^3	ng/ml
Ding2020		Fasting	28.0	T10	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_Fasting_T10	48.0	hr		1.7609329840297168e-06	1.63716591818211	1.995068480093689e-06	3.7703250334796506e-07		mole/meter^3	ng/ml
