study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	raw	mean_unit	value_unit
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.026649367770692	days		2.39247916546778						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.040251322266923	days		17.9834579307242						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.067162266085619	days		44.5219174570623						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.086571208847548	days		52.1536602336397						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.108904571826167	days		56.1374634447473						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.121355591711178	days		53.4861286221743						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.17158865596995	days		49.6801971237098						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.2499934605988	days		42.3963504909782						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.334414514331752	days		30.470052158264						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.500384516790566	days		11.0945911304794						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.517413117515655	days		30.9979126231369						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.541002045524695	days		54.882421566422						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.566448163474567	days		58.2033910718863						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.58198054920507	days		54.3917049003657						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.610581274293875	days		57.713197557926						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.626228753485501	days		55.7257427451883						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.666914291992111	days		50.5915280749572						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.75470967674432	days		42.14837639747						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	0.833396983505014	days		39.3421885544784						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	1.0022809431386	days		16.1529487467891						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	5.0	days						dummy separator		percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.0086451924609	days		18.5985742114218						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.03753103171789	days		30.7720023232028						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.0503600450249	days		36.0362152354813						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.07296501318366	days		47.7157057756259						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.08512584871427	days		42.28907426539						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.11396028968077	days		53.6401297292852						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.1295853699906	days		53.6414146865476						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.16377551282644	days		50.683700060136						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.24719493829635	days		35.394507578678						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.33387301538351	days		22.2437409731752						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.50772259314655	days		3.83698518187288						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	7.63018416007484	days		13.2220560344163						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	8.00411700306848	days		-3.85245606731117						percent	percent
Kubitza2005		BID20	7.0	BID20	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_BID20	9.00673317605456	days		-11.9936882899274						percent	percent
