study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	0.016877637130802	days		1.13831751054852					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	5.0	days						dummy separator	dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.00627615062761	days		1.27166276346604					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.03138075313807	days		1.45901639344262					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.07531380753138	days		1.66978922716627					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.10041841004184	days		1.83840749414519					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.11924686192468	days		2.10538641686182					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.15690376569037	days		2.11943793911007					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.20711297071129	days		2.06323185011709					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.25732217573221	days		1.94145199063231					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.38284518828451	days		1.70725995316159					dimensionless	dimensionless
Kubitza2005		BID20	7.0	BID20	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_BID20	7.5020920502092	days		1.42622950819672					dimensionless	dimensionless
