study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	0.16652425332353	hr		0.975510204081633					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	0.778967867575462	hr		1.1					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	0.995250680603303	hr		1.2530612244898					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	1.23045128470083	hr		1.29183673469388					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	1.48743119448364	hr		1.28979591836735					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	1.74647775371103	hr		1.34081632653061					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	2.00226536573734	hr		1.30816326530612					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	2.28150150030801	hr		1.27755102040816					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	2.51686107743974	hr		1.32040816326531					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	2.75237962760567	hr		1.36734693877551					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	3.00943902390557	hr		1.36734693877551					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	3.47348131073267	hr		1.28163265306122					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	4.0	hr		1.30408163265306					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	6.0	hr		1.17551020408163					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	8.0	hr		1.13469387755102					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	12.0	hr		1.0734693877551					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	15.0101544025595	hr		1.08571428571429					dimensionless	dimensionless
Kubitza2005a		T10	8.0	T10	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T10	24.0	hr		1.03673469387755					dimensionless	dimensionless
