study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	0.169147308387815	hr		1.04285714285714					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	0.488365161059555	hr		1.43877551020408					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	0.707827434771377	hr		1.6734693877551					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	0.992548139021918	hr		1.78367346938776					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	1.2533434016255	hr		1.87959183673469					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	1.48886195179143	hr		1.9265306122449					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	1.75005464698051	hr		2.03265306122449					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	2.0	hr		1.94489795918367					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	2.23667110466387	hr		1.9265306122449					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	2.44691294239215	hr		1.92448979591837					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	2.7975279693182	hr		1.9265306122449					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	3.0035570216402	hr		1.81632653061225					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	3.47197106690778	hr		1.84285714285714					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	4.0	hr		1.82244897959184					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	6.0	hr		1.51020408163265					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	8.0	hr		1.34285714285714					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	12.0	hr		1.19183673469388					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	14.9661983586034	hr		1.15714285714286					dimensionless	dimensionless
Kubitza2005a		T80	6.0	T80	prothrombin time (change relative)		plasma	NR	prothrombin time (change relative)_T80	24.0	hr		1.09591836734694					dimensionless	dimensionless
