study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	0.198347107438016	hr		0.00020904000731643017	232.598714416896	0.00032459015331699087	0.00013251337519306502		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	0.566706021251477	hr		0.00047417473397934974	365.942542306179	0.00036537409208786816	0.00014916334847465834		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	0.793388429752065	hr		0.0004996820008457901	256.319034500853	8.836754146138845e-05	3.60758977341064e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	1.02007083825266	hr		0.00044191796300383353	236.326030871485	0.00010026344213401393	4.0932378847233634e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	1.24675324675325	hr		0.0003977492402163071	213.370938825484	9.176837661741762e-05	3.7464282872704636e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	1.53010625737899	hr		0.0003756769171770808	193.379684288775	6.797657527215977e-05	2.775132064644741e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	1.95513577331759	hr		0.00033492106790011924	171.173203900477	5.778610815860557e-05	2.3591079868310538e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	2.49350649350649	hr		0.00030946797362908595	163.780663780664	6.627916728277965e-05	2.7058356736563267e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	2.97520661157025	hr		0.0002738143802823827	147.50098386462	6.458376568581948e-05	2.6366211932954477e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	3.9952774498229	hr		0.00022120476457366522	139.38344483799	9.857004692947781e-05	4.024105314990203e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	6.00708382526564	hr		0.00012278118429102434	67.5910621365167	3.228686686185418e-05	1.3181058200786314e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	8.04722550177096	hr		8.2139699382143e-05	47.6549040185404	2.719063010886459e-05	1.1100528258579216e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	11.9858323494687	hr		3.8233814001956956e-05	35.1847479120206	4.2487365937523164e-05	1.734539451030639e-05		mole/meter^3	µg/l
Kubitza2005a		S10	6.0	S10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_S10	15.0177095631641	hr		1.975493979131327e-05	22.6857317766409	3.229087964669932e-05	1.3182696413339313e-05		mole/meter^3	µg/l
