study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	0.0	hr		1.36					ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	0.25	hr		12.22	24.43	12.21			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	0.5	hr		114.03	152.04	38.01			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	0.75	hr		215.84	276.92	61.08			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	1.0	hr		217.19	271.49	54.3			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	1.5	hr		223.98	259.28	35.3			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	2.0	hr		237.56	272.85	35.29			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	2.5	hr		240.27	278.28	38.01			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	3.0	hr		222.62	259.28	36.66			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	3.5	hr		202.26	236.2	33.94			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	4.0	hr		179.19	204.98	25.79			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	5.0	hr		146.61	164.25	17.64			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	6.0	hr		118.1	128.96	10.86			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	8.0	hr		78.73	85.52	6.78999999999999			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	10.0	hr		54.3	58.37	4.07			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	12.0	hr		38.01	42.08	4.07			ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	24.0	hr		9.5					ng/ml	ng/ml
Lenard2024		all	12.0	EDO60, CLAR	concentration	edoxaban	plasma	HPLC MS/MS	edoxaban_EDO60, CLAR	48.0	hr		2.71					ng/ml	ng/ml
