study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.0	days		0.99080459770115						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.027027027027027	days		1.20229885057471						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.054054054054054	days		1.21149425287356						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.067567567567568	days		1.22068965517241						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.094594594594595	days		1.21149425287356						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.121621621621622	days		1.27586206896552						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.162162162162162	days		1.19310344827586						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.243243243243243	days		1.14712643678161						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.324324324324324	days		1.0551724137931						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.5	days		1.0551724137931						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	0.621621621621622	days		1.02758620689655						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	1.0	days		0.981609195402299						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	4.0	days								dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.0	days		1.03657142857143						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.01333333333333	days		1.16457142857143						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.04	days		1.192						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.05333333333333	days		1.26514285714286						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.08	days		1.26514285714286						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.09333333333333	days		1.24685714285714						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.12	days		1.23771428571429						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.16	days		1.192						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.25333333333333	days		1.15542857142857						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.33333333333333	days		1.07314285714286						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.49333333333333	days		1.00914285714286						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	5.62666666666667	days		1.00914285714286						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	6.49333333333333	days		0.990857142857143						dimensionless	dimensionless
Zhao2009		MD5	8.0	MD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_MD5	7.0	days		0.990857142857143						dimensionless	dimensionless
