study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kreutz2017	all	24	NA	species	24	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	healthy	24	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	sex	24	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	ethnicity	24	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	age	24	NA	NA	39.9	NA	10.8	NA	22.0	55.0	yr	NA
Kreutz2017	all	24	NA	height	24	NA	NA	181.0	NA	6.65	NA	169.0	191.0	cm	NA
Kreutz2017	all	24	NA	weight	24	NA	NA	81.1	NA	8.97	NA	60.0	95.1	kg	NA
Kreutz2017	all	24	NA	bmi	24	NA	NA	24.7	NA	2.67	NA	20.8	29.5	kg/m^2	NA
Kreutz2017	all	24	NA	smoking	9	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	smoking	15	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	medication	24	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Kreutz2017	all	24	NA	fasting	24	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
