study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	se	sd	unit	comments
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	3.97989949748744	hr	NA	1.92242245711315	2.56377577542887	0.177879405759716	0.64135331831572	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	7.95979899497488	hr	NA	3.65920984231502	4.79711488476867	0.315598075167358	1.13790504245365	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	12.0	hr	NA	4.48562640790158	5.83042800207936	0.372980854087208	1.34480159417778	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	24.0	hr	NA	5.47527291630567	6.8615058048865	0.384471827654826	1.38623288858083	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	48.0	hr	NA	6.0270057182464	7.41321261479813	0.384464618763005	1.38620689655173	mg	NA
Greenblatt2018	NA	NRF	13.0	RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF	72.0	hr	NA	6.10287645122162	7.50979899497487	0.390210105546813	1.40692254375325	mg	NA
Greenblatt2018	NA	NRF	10.0	VER120, VER240, VER360, RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF_VER	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Greenblatt2018	NA	NRF	10.0	VER120, VER240, VER360, RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF_VER	3.97989949748744	hr	NA	2.4396638364235	2.97759487090626	0.17010872930561	0.53793103448276	mg	NA
Greenblatt2018	NA	NRF	10.0	VER120, VER240, VER360, RIV20	cumulative amount	rivaroxaban	urine	NR	rivaroxaban_urine_NRF_VER	7.95979899497488	hr	NA	5.27297695373419	6.26610639403916	0.314055104273193	0.99312944030497	mg	NA
