study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	0.158927265742152	hr	NA	0.981558042408695	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	0.33427932896275	hr	NA	0.986073209321155	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	0.640236622836913	hr	NA	0.981512601570601	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	0.945367719654814	hr	NA	0.965622766686082	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	1.18899670760473	hr	NA	1.0063852639493	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	1.42618135851582	hr	NA	0.95877978956761	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	1.66749699470821	hr	NA	0.967820450855733	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	2.0	hr	NA	0.981392802997443	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	2.19586653612753	hr	NA	1.01308778756821	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	2.48225948370946	hr	NA	1.0402510812854	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	2.72638418989313	hr	NA	1.087811114829	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	2.96736934726301	hr	NA	1.09232008526354	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	3.44586963436649	hr	NA	1.05375527216997	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	4.0	hr	NA	1.0333151569981	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	6.0	hr	NA	0.942487183618165	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	8.0	hr	NA	0.95363051641447	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	12.0	hr	NA	0.946457060473494	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	15.0985859637382	hr	NA	0.941627938679655	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T1.25	24.0	hr	NA	1.02688940939303	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	0.411644421310926	hr	NA	1.14694203814552	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	0.74443659557241	hr	NA	1.21035472770611	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	0.966683603706319	hr	NA	1.25791682674235	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	1.23020741677097	hr	NA	1.27148711339142	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	1.49125263866685	hr	NA	1.25106971863859	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	1.71746539267081	hr	NA	1.35301210791786	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	2.0	hr	NA	1.45495656268977	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	2.18763761344718	hr	NA	1.50024868531393	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	2.46989957574781	hr	NA	1.4707658433613	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	2.77354351786445	hr	NA	1.43448339963565	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	2.95137417225382	hr	NA	1.47298624795	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	3.49368991998281	hr	NA	1.40949093868379	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	4.0	hr	NA	1.46155994266192	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	5.99690176103903	hr	NA	1.23478330916707	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	8.0	hr	NA	1.13263643611638	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	12.0	hr	NA	1.0121624468652	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	14.9918413040694	hr	NA	0.977891792971542	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T5	24.0	hr	NA	0.981572500857179	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	0.492049918826139	hr	NA	1.04950242282287	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	0.750715693199984	hr	NA	1.29645685392423	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	0.973888042036905	hr	NA	1.65670768735051	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	1.24336047390663	hr	NA	1.75184840936412	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	1.46478128498428	hr	NA	1.78808128126639	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	2.0	hr	NA	1.84242645813453	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	2.25948370945954	hr	NA	1.88543827688342	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	2.54868572703275	hr	NA	1.95112094285608	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	2.76234028578156	hr	NA	1.8808590796991	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	3.52310253518567	hr	NA	1.81281142465289	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	4.0	hr	NA	1.72666798858196	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	5.95192359329624	hr	NA	1.51802018399408	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	8.0	hr	NA	1.36601644958339	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	12.0	hr	NA	1.16850991229918	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	15.0010947110995	hr	NA	1.10477913687194	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T10	24.0	hr	NA	1.02915525481983	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	0.227534669293973	hr	NA	1.02233706361304	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	0.433125544773683	hr	NA	1.44150194362858	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	0.735381475835801	hr	NA	1.68618639831786	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	0.962916145129774	hr	NA	1.80625555101147	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	1.20770180895845	hr	NA	1.86287896626224	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	1.47006894614434	hr	NA	1.86058833492376	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	1.74886088080868	hr	NA	1.78352273900848	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	2.0	hr	NA	1.8242852362717	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	2.23347502612848	hr	NA	1.82879420670624	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	2.75870501873402	hr	NA	1.83101048030966	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	3.00233400668393	hr	NA	1.87177297757288	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	3.48860054611625	hr	NA	1.93970289953857	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	4.0	hr	NA	1.87168003040405	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	6.0	hr	NA	1.76272942459506	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	8.0	hr	NA	1.61752735745003	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	12.0	hr	NA	1.35657301723034	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T20	7.0	T20	HepTest (change relative)	NA	plasma	NR	HepTest (change relative)_T20	14.9816956042186	hr	NA	1.13876888376647	NA	NA	NA	dimensionless	NA
