study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	0.252840045222408	hr	NA	1.00837004405286	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	0.382020194144478	hr	NA	1.04537444933921	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	0.701040895091809	hr	NA	1.05462555066079	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	0.954598261276364	hr	NA	1.02687224669604	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	1.18772757397372	hr	NA	1.01629955947137	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	1.46364664145647	hr	NA	1.01233480176211	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	1.76099177419984	hr	NA	1.01233480176211	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	2.0	hr	NA	1.0295154185022	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	2.27434408015282	hr	NA	1.08898678414097	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	2.56832092316089	hr	NA	1.01762114537445	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	2.77896378308838	hr	NA	0.980616740088106	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	6.0	hr	NA	1.0295154185022	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	8.0	hr	NA	1.03480176211454	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	12.0	hr	NA	1.0625550660793	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T1.25	24.0	hr	NA	1.00440528634361	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T5	0.993208841760555	hr	NA	0.944933920704846	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T5	1.26937741218666	hr	NA	0.94625550660793	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	thrombin activity (change relative)	NA	plasma	NR	thrombin activity (change relative)_T5	1.52499317765389	hr	NA	0.962114537444934	NA	NA	NA	dimensionless	NA
