study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	0.406779661016948	hr	NA	29.287598944591	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	0.688396349413297	hr	NA	67.2823218997361	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	0.970013037809647	hr	NA	91.0290237467018	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	1.15775749674055	hr	NA	96.5699208443272	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	2.47196870925684	hr	NA	121.899736147757	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	2.97262059973924	hr	NA	124.274406332454	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	3.94263363754889	hr	NA	117.150395778364	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	5.97653194263364	hr	NA	73.6147757255937	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	7.94784876140808	hr	NA	60.9498680738786	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	11.9843546284224	hr	NA	45.1187335092348	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	14.9882659713168	hr	NA	31.6622691292876	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV4x5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV4x5_fasted	24.0	hr	NA	18.9973614775726	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	0.0	hr	NA	0.0	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	0.4	hr	NA	17.4142480211082	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	0.7	hr	NA	44.3271767810026	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	1.0	hr	NA	68.0738786279683	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	1.2	hr	NA	90.2374670184696	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	1.5	hr	NA	101.31926121372	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	2.0	hr	NA	120.316622691293	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	2.5	hr	NA	131.398416886544	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	3.0	hr	NA	132.189973614776	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	4.0	hr	NA	128.232189973615	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	6.0	hr	NA	79.9472295514512	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	8.0	hr	NA	62.532981530343	NA	NA	NA	µg/l	NA
Kubitza2006	NA	food_study2	10.0	RIV20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_RIV20_fasted	12.0	hr	NA	44.3271767810026	NA	NA	NA	µg/l	NA
