study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	0.0	hr	NA	0.978209232675824	0.956521739130435	0.021687493545389	0.00766768687644203	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	0.684085510688838	hr	NA	1.34808427140349	1.16335329959723	0.18473097180626	0.0653122614296937	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	2.05225653206651	hr	NA	1.47893214912733	1.26148920789011	0.21744294123722	0.0768776891349931	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	3.07838479809976	hr	NA	1.50098110089848	1.26185066611587	0.23913043478261	0.0845453760114355	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	5.98574821852731	hr	NA	1.34968501497469	1.25129092223484	0.0983940927398499	0.034787565102523	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	8.03800475059382	hr	NA	1.20900030982133	1.18664153671382	0.0223587731075099	0.00790502004166583	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	11.9714964370546	hr	NA	1.09062274088608	1.1220437880822	0.03142104719612	0.0111090177721795	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	15.0498812351543	hr	NA	1.06981307446039	1.0688836104513	0.000929464009089998	0.000328615151848186	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	23.9429928741092	hr	NA	0.996411236187132	1.03715274191882	0.040741505731688	0.0144042974893136	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	47.8859857482185	hr	NA	1.00364040070226	0.960162139832696	0.0434782608695639	0.0153718865475332	dimensionless	NA
Kubitza2013	NA	healthy	8.0	healthy	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_healthy	72.1710213776722	hr	NA	1.00010327377878	0.945807084581224	0.0542961891975561	0.0191966017870898	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	0.0	hr	NA	1.03260869565217	0.989182071672002	0.0434266239801681	0.0153536301502076	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	0.684085510688838	hr	NA	1.47851905401218	1.21770112568418	0.260817928328	0.0922130628878778	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	1.8812351543943	hr	NA	1.46801094702055	1.31588867086646	0.15212227615409	0.0537833465190448	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	2.73634204275534	hr	NA	1.46826913146752	1.30527729009604	0.16299184137148	0.0576263181559278	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	4.10451306413302	hr	NA	1.47955179180006	1.27303005266962	0.20652173913044	0.0730164611007866	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	5.8147268408551	hr	NA	1.33876381286791	1.24098936280078	0.09777445006713	0.0345684883346266	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	7.86698337292161	hr	NA	1.26329649901889	1.16552204895177	0.09777445006712	0.034568488334623	dimensionless	NA
Kubitza2013	NA	mildHI	8.0	mildHI	prothrombin time (change relative)	NA	plasma	NR	prothrombin time (change relative)_mildHI	11.9714964370546	hr	NA	1.14497056697304	1.09062274088608	0.0543478260869599	0.0192148581844182	dimensionless	NA
