study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.0	days	NA	52.0231213872835	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.128	days	NA	62.4277456647401	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.16	days	NA	69.3641618497109	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.224000000000001	days	NA	76.3005780346821	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.288	days	NA	76.3005780346821	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.384	days	NA	69.3641618497109	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.576	days	NA	52.0231213872835	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	0.768	days	NA	24.277456647399	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	1.184	days	NA	10.4046242774566	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	1.472	days	NA	3.46820809248584	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD5	8.0	MD5	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD5	2.0	days	NA	-3.46820809248538	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.0	days	NA	24.277456647399	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.16	days	NA	52.0231213872835	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.192	days	NA	83.2369942196533	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.256	days	NA	110.982658959538	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.288	days	NA	128.323699421966	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.384	days	NA	138.728323699422	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.576	days	NA	117.919075144509	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	0.768	days	NA	55.4913294797689	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	1.184	days	NA	27.7456647398844	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	1.472	days	NA	10.4046242774566	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD10	8.0	MD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD10	2.0	days	NA	0.0	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.0	days	NA	27.7456647398844	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.0960000000000001	days	NA	135.260115606937	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.128	days	NA	204.624277456648	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.192	days	NA	235.838150289017	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.224000000000001	days	NA	298.265895953758	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.288	days	NA	291.329479768787	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.384	days	NA	256.647398843931	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.576	days	NA	180.346820809249	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	0.768	days	NA	97.1098265895957	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	1.184	days	NA	41.6184971098269	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	1.472	days	NA	20.8092485549137	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD20	8.0	MD20	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD20	2.0	days	NA	3.46820809248584	NA	NA	NA	NA	NA
Zhao2009	NA	MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	0.0	days	NA	24.277456647399	NA	NA	NA	µg/l	NA
Zhao2009	NA	MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	0.0960000000000001	days	NA	190.751445086705	NA	NA	NA	µg/l	NA
